Epoch,Loss,Smoothed_Loss
1,0.8798940866334097,
2,0.8525919542993818,
3,0.8468886310713631,
4,0.8473272323608398,
5,0.8433655823980059,0.8540134973526001
6,0.8431840331213815,0.8466714866501944
7,0.8415039931024824,0.8444538944108145
8,0.838807041304452,0.8428375764574323
9,0.8406585489000593,0.8415038397652763
10,0.8377869204112461,0.8403881073679245
11,0.8352422853878566,0.8387997578212193
12,0.8369440225192478,0.8378877637045723
13,0.8389314470972333,0.8379126448631287
14,0.839026334285736,0.837586201940264
15,0.8345771653311593,0.8369442509242467
16,0.8350442579814366,0.8369046454429627
17,0.836501315661839,0.8368161040714809
18,0.8362039300373623,0.8362706006595068
19,0.8347462214742388,0.8354145780972073
20,0.8325855731964111,0.8350162596702576
21,0.8347051807812282,0.834948444230216
22,0.8310261021341596,0.8338534015246801
23,0.8402937841415405,0.8346713723455157
24,0.8292567188399179,0.8335734718186516
25,0.832527951513018,0.8335619474819729
26,0.8308984381811959,0.8328005989619665
27,0.8305546995571681,0.8327063184465681
28,0.831720574242728,0.8309916764668056
29,0.8309806650025504,0.8313364656993321
30,0.8296066876820155,0.8307522129331316
31,0.8312857212339129,0.8308296695436751
32,0.8278693120820182,0.830292592048645
33,0.8263874408176967,0.8292259653636388
34,0.8301553235735212,0.829060897077833
35,0.8289122537204198,0.8289220102855137
36,0.8277406150954111,0.8282129890578134
37,0.8280691538538252,0.8282529574121749
38,0.8298098942211696,0.8289374480928694
39,0.8288678482600621,0.8286799530301776
40,0.8280401263918196,0.8285055275644575
41,0.8262436928067889,0.8282061431067331
42,0.826064362185342,0.8278051847730364
43,0.8263656071254185,0.8271163273538862
44,0.829496875490461,0.827242132799966
45,0.8269056064741952,0.8270152288164412
46,0.8280687042645045,0.8273802311079843
47,0.8264012214115688,0.8274476029532297
48,0.8262274268695287,0.8274199669020517
49,0.8242082902363368,0.8263622498512269
50,0.8295534859384809,0.826891825744084
51,0.8201073292323521,0.8252995507376535
52,0.8219178945677621,0.8244028853688921
53,0.821334810938154,0.8234243621826173
54,0.8282556125095912,0.8242338266372681
55,0.8230704259872437,0.8229372146470206
56,0.8244898826735361,0.8238137253352575
57,0.8230214415277753,0.8240344347272601
58,0.8216703949655806,0.8241015515327454
59,0.8236230414254325,0.8231750373159137
60,0.8296152411188398,0.8244840003422329
61,0.8205314697538103,0.8236923177582878
62,0.8228847541127886,0.8236649802752904
63,0.8217246665273394,0.8236758345876423
64,0.8202729541914804,0.8230058171408517
65,0.8230894786970956,0.8217006646565028
66,0.8221008232661656,0.8220145353589741
67,0.8224266375814165,0.8219229120526996
68,0.8228201297351292,0.8221420046942576
69,0.8245671108790806,0.8230008360317775
70,0.8204612932886396,0.8224751989500864
71,0.8195845474515643,0.8219719437871661
72,0.8225646271024432,0.8219995416913715
73,0.8210053164618356,0.8216365790367128
74,0.824716808455331,0.8216665185519629
75,0.8229396860940116,0.8221621971130373
76,0.8195817794118608,0.8221616435050965
77,0.8186386663573129,0.8213764513560704
78,0.8210857575280326,0.8213925395693099
79,0.8204693651199341,0.8205430509022305
80,0.8195743152073451,0.8198699767248973
81,0.8181764606067112,0.8195889129638672
